Date, Cost per Mb , Production (Mb) , Cost per Genome 
2001-09-30,5292.39,16200.00,95263072.00
2002-03-31,3898.64,16111.00,70175437.00
2002-09-30,3413.80,18734.00,61448422.00
2003-03-31,2986.20,23045.00,53751684.00
2003-10-31,2230.98,38344.00,40157554.00
2004-01-31,1598.91,17862.00,28780376.00
2004-04-30,1135.70,21245.00,20442576.00
2004-07-31,1107.46,22233.00,19934346.00
2004-10-31,1028.85,25396.00,18519312.00
2005-01-31,974.16,24899.00,17534970.00
2005-04-30,897.76,25823.00,16159699.00
2005-07-31,898.90,29785.00,16180224.00
2005-10-31,766.73,30831.00,13801124.00
2006-01-31,699.20,29964.00,12585659.00
2006-04-30,651.81,33020.00,11732535.00
2006-07-31,636.41,32866.00,11455315.00
2006-10-31,581.92,33746.00,10474556.00
2007-01-31,522.71,32713.00,9408739.00
2007-04-30,502.61,30135.00,9047003.00
2007-07-31,495.96,29927.00,8927342.00
2007-10-31,397.09,30363.00,7147571.00
2008-01-31,102.13,92987.00,3063820.00
2008-04-30,15.03,347572.00,1352982.00
2008-07-31,8.36,682807.00,752080.00
2008-10-31,3.81,1579158.00,342502.00
2009-01-31,2.59,1969911.00,232735.00
2009-04-30,1.72,3694856.00,154714.00
2009-07-31,1.20,9645049.00,108065.00
2009-10-31,0.78,10492958.00,70333.00
2010-01-31,0.52,17784582.00,46774.00
2010-04-30,0.35,27543006.00,31512.00
2010-07-31,0.35,39436407.00,31125.00
2010-10-31,0.32,50917456.00,29092.00
2011-01-31,0.23,61754444.00,20963.00
2011-04-30,0.19,72920050.00,16712.00
2011-07-31,0.12,86550037.00,10497.00
2011-10-30,0.09,104787021.00,7743.00
2012-01-31,0.09,84739055.00,7666.00
2012-04-30,0.07,63573558.00,5901.00
2012-07-31,0.07,57667068.00,5985.00
2012-10-31,0.07,93461255.00,6618.00
2013-01-31,0.06,97398912.00,5671.00
2013-04-30,0.06,99755310.00,5550.00
2013-07-31,0.06,89779128.00,5550.00
2013-10-31,0.06,145773433.00,5096.00
2014-01-31,0.04,184102368.00,4008.00
2014-04-30,0.05,118688007.00,4920.00
2014-07-31,0.05,112259041.00,4905.00
2014-10-31,0.06,55743515.00,5731.00
2015-01-31,0.04,103798746.00,3970.00
2015-04-30,0.05,125943351.00,4211.00
2015-07-31,0.02,680351188.00,1363.00
2015-10-31,0.01,414511886.00,1245.00
2016-04-30,0.01,915724433.00,1297.00
2016-07-31,0.03,320940601.00,2257.00
2016-10-31,0.02,848170516.00,1356.00
2017-01-31,0.01,954511868.00,1015.00
2017-04-30,0.02,839005369.00,1323.00
2017-07-31,0.01,743402711.00,1121.00
